position,song,streams,artist,year
1,Blinding Lights,3.834,The Weeknd,1905
2,Shape of You,3.649,Ed Sheeran,1905
3,Someone You Loved,3.004,Lewis Capaldi,1905
4,Sunflower,2.949,Post Malone e Swae Lee,1905
5,Dance Monkey,2.914,Tones and I,1905
6,One Dance,2.810,Drake feat. Wizkid e Kyla,1905
7,Rockstar,2.786,Post Malone feat. 21 Savage,1905
8,Stay,2.780,The Kid Laroi e Justin Bieber,1905
9,Starboy,2.728,The Weeknd,1905
10,As It Was,2.723,Harry Styles,1905
11,Believer,2.693,Imagine Dragons,2016
12,Heat Waves,2.675,Glass Animals,2020
13,Perfect,2.659,Ed Sheeran,2017
14,Closer,2.652,The Chainsmokers,2016
15,Señorita,2.546,Shawn Mendes e Camila Cabello,2019
16,Say You Won't Let Go,2.502,James Arthur,2016
17,Lovely,2.465,Billie Eilish e Khalid,2018
18,Sweater Weather,2.421,The Neighbourhood,2012
19,Watermelon Sugar,2.414,Harry Styles,2020
20,Don't Start Now,2.376,Dua Lipa,2019
21,Bad Guy,2.362,Billie Eilish,2019
22,Lucid Dreams,2.347,Juice WRLD,2018
23,Thinking Out Loud,2.333,Ed Sheeran,2014
24,God's Plan,2.320,Drake,2018
25,Photograph,2.307,Ed Sheeran,2014
26,Something Just Like This,2.285,The Chainsmokers e Coldplay,2017
27,Bohemian Rhapsody,2.268,Queen,1975
28,Take Me To Church,2.225,Hozier,2013
29,Shallow,2.223,Lady Gaga e Bradley Cooper,2018
30,Circles,2.219,Post Malone,2019
31,Love Yourself,2.189,Justin Bieber,2015
32,All of Me,2.148,John Legend,2013
33,Thunder,2.132,Imagine Dragons,2017
34,Riptide,2.119,Vance Joy,2013
35,Counting Stars,2.107,OneRepublic,2013
36,Sad!,2.094,XXXTentacion,2018
37,Goosebumps,2.094,Travis Scott feat. Kendrick Lamar,2016
38,7 Rings,2.093,Ariana Grande,2019
39,Stressed Out,2.062,Twenty One Pilots,2015
40,Can't Hold Us,2.054,Macklemore & Ryan Lewis feat. Ray Dalton,2011
41,Wake Me Up,2.052,Avicii,2013
42,Jocelyn Flores,2.032,XXXTentacion,2017
43,The Hills,2.027,The Weeknd,2015
44,Let Her Go,2.003,Passenger,2012
45,Humble,1.991,Kendrick Lamar,2017
46,XO Tour Llif3,1.969,Lil Uzi Vert,2017
47,One Kiss,1.966,Calvin Harris e Dua Lipa,2018
48,Another Love,1.958,Tom Odell,2013
49,Good 4 U,1.958,Olivia Rodrigo,2021
50,Havana,1.951,Camila Cabello feat. Young Thug,2017